Unnamed: 0,Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints_x,Int,Fumbles,FumblesLost,FantasyPoints_y,PredictedFantasyPoints
104,DariusSlayton,NYG,WR,22.0,14.0,9.0,84.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,8.0,170.0,0.0,0.0,0.0,91.0,120.27146
105,JamisonCrowder,NYJ,WR,26.0,16.0,12.0,122.0,78.0,0.0,0.0,0.0,4.0,0.0,1.0,833.0,6.0,197.7,0.0,0.0,0.0,113.0,107.83465
106,DevinSingletary,BUF,RB,22.0,12.0,8.0,41.0,29.0,0.0,0.0,0.0,775.0,2.0,151.0,194.0,2.0,147.9,0.0,4.0,1.0,106.0,100.22427
107,ColeBeasley,BUF,WR,30.0,15.0,10.0,106.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,6.0,180.8,0.0,0.0,0.0,126.0,89.65535
108,CurtisSamuel,CAR,WR,23.0,16.0,15.0,105.0,54.0,0.0,0.0,0.0,130.0,1.0,19.0,627.0,6.0,171.7,0.0,0.0,0.0,135.0,106.59336
109,TevinColeman,SFO,RB,26.0,14.0,11.0,30.0,21.0,0.0,0.0,0.0,544.0,6.0,137.0,180.0,1.0,135.4,0.0,0.0,0.0,9.0,63.144047
110,JamesConner,PIT,RB,24.0,10.0,10.0,38.0,34.0,0.0,0.0,0.0,464.0,4.0,116.0,251.0,3.0,145.5,0.0,1.0,1.0,130.0,84.26462
111,MikeWilliams,LAC,WR,25.0,15.0,15.0,90.0,49.0,0.0,0.0,0.0,2.0,0.0,1.0,1001.0,2.0,161.29999999999995,0.0,0.0,0.0,106.0,90.20991
113,RobbyAnderson,NYJ,WR,26.0,16.0,15.0,96.0,52.0,0.0,0.0,0.0,4.0,0.0,1.0,779.0,5.0,160.3,0.0,1.0,0.0,129.0,93.379234
114,ChrisConley,JAX,WR,27.0,16.0,14.0,90.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,775.0,5.0,154.5,0.0,0.0,0.0,57.0,87.16196
115,DukeJohnson,HOU,RB,26.0,16.0,2.0,62.0,44.0,0.0,0.0,0.0,410.0,2.0,83.0,410.0,3.0,154.0,0.0,1.0,1.0,56.0,80.81759
116,MasonRudolph,PIT,QB,24.0,10.0,8.0,0.0,0.0,1765.0,13.0,283.0,42.0,0.0,21.0,0.0,0.0,108.8,9.0,4.0,0.0,18.0,89.345436
117,JamaalWilliams,GNB,RB,24.0,14.0,2.0,45.0,39.0,0.0,0.0,0.0,460.0,1.0,107.0,253.0,5.0,146.3,0.0,0.0,0.0,96.0,84.79181
118,DavidJohnson,ARI,RB,28.0,13.0,9.0,47.0,36.0,0.0,0.0,0.0,345.0,2.0,94.0,370.0,4.0,141.5,0.0,1.0,1.0,147.0,68.93596
119,DiontaeJohnson,PIT,WR,23.0,16.0,12.0,92.0,59.0,0.0,0.0,0.0,41.0,0.0,4.0,680.0,5.0,157.1,0.0,5.0,2.0,134.0,112.00096
120,CaseKeenum,WAS,QB,31.0,10.0,8.0,0.0,0.0,1707.0,11.0,247.0,12.0,1.0,9.0,0.0,0.0,103.48,5.0,6.0,3.0,2.0,104.54839
121,GoldenTate,NYG,WR,31.0,11.0,10.0,85.0,49.0,0.0,0.0,0.0,16.0,0.0,1.0,676.0,6.0,152.2,0.0,1.0,1.0,52.0,83.957344
122,LarryFitzgerald,ARI,WR,36.0,16.0,16.0,109.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,4.0,177.4,0.0,1.0,1.0,47.0,73.006134
123,BreshadPerriman,TAM,WR,26.0,14.0,4.0,69.0,36.0,0.0,0.0,0.0,16.0,0.0,2.0,645.0,6.0,138.1,0.0,0.0,0.0,69.0,84.71897
124,PeytonBarber,TAM,RB,25.0,16.0,7.0,24.0,16.0,0.0,0.0,0.0,470.0,6.0,154.0,115.0,1.0,114.5,0.0,1.0,1.0,51.0,75.54672
125,JordanHoward,PHI,RB,25.0,10.0,4.0,14.0,10.0,0.0,0.0,0.0,525.0,6.0,119.0,69.0,1.0,111.4,0.0,0.0,0.0,30.0,70.544495
127,MarquiseBrown,BAL,WR,22.0,14.0,11.0,71.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,7.0,146.4,0.0,0.0,0.0,125.0,107.40119
128,RandallCobb,DAL,WR,29.0,15.0,6.0,83.0,55.0,0.0,0.0,1.0,11.0,0.0,3.0,828.0,3.0,154.9,0.0,2.0,1.0,62.0,72.70743
129,ChristianKirk,ARI,WR,23.0,13.0,13.0,108.0,68.0,0.0,0.0,0.0,93.0,0.0,10.0,709.0,3.0,166.20000000000005,0.0,0.0,0.0,98.0,98.26696
130,RoyceFreeman,DEN,RB,23.0,16.0,0.0,50.0,43.0,0.0,0.0,0.0,496.0,3.0,132.0,256.0,1.0,142.2,0.0,0.0,0.0,25.0,81.725494
131,MecoleHardman,KAN,WR,21.0,16.0,5.0,41.0,26.0,0.0,0.0,0.0,17.0,0.0,4.0,538.0,6.0,113.5,0.0,2.0,2.0,87.0,99.4822
132,ZachPascal,IND,WR,25.0,16.0,13.0,72.0,41.0,0.0,0.0,1.0,16.0,0.0,2.0,607.0,5.0,133.29999999999998,0.0,0.0,0.0,93.0,84.200615
133,LeSeanMcCoy,KAN,RB,31.0,13.0,9.0,34.0,28.0,0.0,0.0,0.0,465.0,4.0,101.0,181.0,1.0,118.6,0.0,3.0,2.0,13.0,67.50892
134,DedeWestbrook,JAX,WR,26.0,15.0,11.0,101.0,66.0,0.0,0.0,0.0,27.0,0.0,5.0,660.0,3.0,152.7,0.0,1.0,0.0,-2.0,79.91978
135,TeddyBridgewater,NOR,QB,27.0,9.0,5.0,0.0,0.0,1384.0,9.0,196.0,31.0,0.0,28.0,0.0,0.0,90.46,2.0,1.0,0.0,241.0,106.420876
136,JamesWashington,PIT,WR,23.0,15.0,10.0,80.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,3.0,133.5,0.0,1.0,1.0,69.0,86.66753
137,SammyWatkins,KAN,WR,26.0,14.0,13.0,90.0,52.0,0.0,0.0,0.0,12.0,0.0,2.0,673.0,3.0,136.5,0.0,2.0,1.0,50.0,79.20791
138,GusEdwards,BAL,RB,24.0,16.0,1.0,7.0,7.0,0.0,0.0,0.0,711.0,2.0,133.0,45.0,0.0,92.6,0.0,2.0,1.0,119.0,74.753044
139,DeAndreWashington,OAK,RB,26.0,16.0,3.0,41.0,36.0,0.0,0.0,0.0,387.0,3.0,108.0,292.0,0.0,121.9,0.0,0.0,0.0,12.0,57.41298
140,TarikCohen,CHI,RB,24.0,16.0,11.0,104.0,79.0,0.0,0.0,0.0,213.0,0.0,64.0,456.0,3.0,163.9,0.0,3.0,0.0,12.0,83.67844
141,JoeFlacco,DEN,QB,34.0,8.0,8.0,0.0,0.0,1822.0,6.0,262.0,20.0,0.0,12.0,0.0,0.0,82.88,5.0,8.0,3.0,55.0,85.4685
142,WillFuller,HOU,WR,25.0,11.0,11.0,71.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,3.0,134.0,0.0,1.0,0.0,136.0,77.60747
143,MarcusMariota,TEN,QB,26.0,7.0,6.0,0.0,0.0,1203.0,7.0,160.0,129.0,0.0,24.0,0.0,0.0,85.02000000000002,2.0,3.0,0.0,26.0,83.87263
144,HunterRenfrow,OAK,WR,24.0,13.0,4.0,71.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,4.0,133.5,0.0,1.0,0.0,76.0,79.21838
145,SterlingShepard,NYG,WR,26.0,10.0,10.0,83.0,57.0,0.0,0.0,0.0,72.0,0.0,6.0,576.0,3.0,139.79999999999998,0.0,0.0,0.0,97.0,74.51299
146,MattBreida,SFO,RB,24.0,13.0,5.0,22.0,19.0,0.0,0.0,0.0,623.0,1.0,123.0,120.0,1.0,103.3,0.0,2.0,1.0,33.0,67.316124
147,AdamThielen,MIN,WR,29.0,10.0,10.0,48.0,30.0,0.0,0.0,0.0,6.0,1.0,4.0,418.0,6.0,114.4,0.0,0.0,0.0,180.0,77.072426
148,TaysomHill,NOR,QB,29.0,16.0,5.0,22.0,19.0,55.0,0.0,6.0,156.0,1.0,27.0,234.0,6.0,102.2,0.0,0.0,0.0,149.0,72.13877
149,FrankGore,BUF,RB,36.0,16.0,8.0,16.0,13.0,0.0,0.0,0.0,599.0,2.0,166.0,100.0,0.0,94.9,0.0,0.0,0.0,84.0,64.222725
150,TYHilton,IND,WR,30.0,10.0,10.0,68.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,5.0,125.1,0.0,0.0,0.0,108.0,72.079094
151,KennyStills,HOU,WR,27.0,13.0,5.0,55.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,4.0,120.1,0.0,0.0,0.0,20.0,65.31526
152,DannyAmendola,DET,WR,34.0,15.0,10.0,97.0,62.0,19.0,1.0,1.0,0.0,0.0,0.0,678.0,1.0,140.56,0.0,0.0,0.0,60.0,60.87536
153,AlshonJeffery,PHI,WR,29.0,10.0,10.0,73.0,43.0,0.0,0.0,0.0,2.0,1.0,1.0,490.0,4.0,122.2,0.0,0.0,0.0,18.0,65.06779
154,DwayneHaskins,WAS,QB,22.0,9.0,7.0,0.0,0.0,1365.0,7.0,203.0,101.0,0.0,20.0,0.0,0.0,74.69999999999997,7.0,6.0,2.0,68.0,46.075768
155,BrandinCooks,LAR,WR,26.0,14.0,14.0,72.0,42.0,0.0,0.0,0.0,52.0,0.0,6.0,583.0,2.0,117.5,0.0,0.0,0.0,151.0,66.19993
156,DarrenFells,HOU,TE,33.0,16.0,14.0,48.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,7.0,110.1,0.0,0.0,0.0,55.0,78.30932
157,AnthonyMiller,CHI,WR,25.0,16.0,7.0,85.0,52.0,0.0,0.0,0.0,-1.0,0.0,1.0,656.0,2.0,127.5,0.0,1.0,1.0,60.0,73.0292
158,StevenSims,WAS,WR,22.0,16.0,2.0,56.0,34.0,0.0,0.0,1.0,85.0,1.0,9.0,310.0,4.0,103.5,0.0,1.0,0.0,30.0,73.020905
159,KerryonJohnson,DET,RB,22.0,8.0,7.0,15.0,10.0,0.0,0.0,0.0,403.0,3.0,113.0,127.0,1.0,85.0,0.0,1.0,1.0,53.0,64.70255
160,KyleRudolph,MIN,TE,30.0,16.0,16.0,48.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,6.0,111.7,0.0,0.0,0.0,37.0,71.84629
161,RexBurkhead,NWE,RB,29.0,13.0,1.0,38.0,27.0,0.0,0.0,0.0,302.0,3.0,65.0,279.0,0.0,101.1,0.0,1.0,1.0,83.0,56.923103
162,NyheimHines,IND,RB,23.0,16.0,2.0,58.0,44.0,0.0,0.0,0.0,199.0,2.0,52.0,320.0,0.0,105.9,0.0,1.0,1.0,130.0,68.4065
163,TonyPollard,DAL,RB,22.0,15.0,0.0,20.0,15.0,0.0,0.0,0.0,455.0,2.0,86.0,107.0,1.0,87.2,0.0,1.0,1.0,93.0,70.53216
164,BostonScott,PHI,RB,24.0,11.0,2.0,26.0,24.0,0.0,0.0,0.0,245.0,5.0,61.0,204.0,0.0,96.9,0.0,4.0,1.0,71.0,73.392136
165,CoreyDavis,TEN,WR,24.0,15.0,11.0,69.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,601.0,2.0,115.1,0.0,1.0,0.0,126.0,71.04928
167,GregOlsen,CAR,TE,34.0,14.0,14.0,82.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,2.0,123.7,0.0,0.0,0.0,30.0,54.476044
168,ChaseEdmonds,ARI,RB,23.0,13.0,2.0,21.0,12.0,0.0,0.0,0.0,303.0,4.0,60.0,105.0,1.0,82.8,0.0,0.0,0.0,115.0,53.486122
169,NoahFant,DEN,TE,22.0,16.0,11.0,66.0,40.0,0.0,0.0,0.0,-12.0,0.0,3.0,562.0,3.0,111.0,0.0,1.0,1.0,87.0,82.120094
170,JuJuSmithSchuster,PIT,WR,23.0,12.0,12.0,70.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,3.0,113.2,0.0,1.0,1.0,137.0,81.39489
171,JonnuSmith,TEN,TE,24.0,16.0,14.0,44.0,35.0,0.0,0.0,0.0,78.0,0.0,4.0,439.0,3.0,104.7,0.0,0.0,0.0,99.0,65.40803
172,JackDoyle,IND,TE,29.0,16.0,16.0,72.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,4.0,111.8,0.0,1.0,0.0,41.0,60.72902
173,DemarcusRobinson,KAN,WR,25.0,16.0,10.0,55.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,4.0,100.9,0.0,0.0,0.0,63.0,65.70415
174,KendrickBourne,SFO,WR,24.0,16.0,0.0,44.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,5.0,95.8,0.0,0.0,0.0,81.0,73.07144
175,AllenLazard,GNB,WR,24.0,16.0,3.0,52.0,35.0,0.0,0.0,0.0,21.0,0.0,1.0,477.0,3.0,102.8,0.0,0.0,0.0,65.0,64.41898
176,DrewLock,DEN,QB,23.0,5.0,5.0,0.0,0.0,1020.0,7.0,156.0,72.0,0.0,18.0,0.0,0.0,68.0,3.0,3.0,1.0,181.0,61.009003
177,RashaadPenny,SEA,RB,23.0,10.0,0.0,11.0,8.0,0.0,0.0,0.0,370.0,3.0,65.0,83.0,1.0,75.3,0.0,1.0,1.0,3.0,62.422325
178,JohnRoss,CIN,WR,25.0,8.0,8.0,56.0,28.0,0.0,0.0,0.0,4.0,0.0,3.0,506.0,3.0,95.0,0.0,1.0,1.0,2.0,65.1729
179,EvanEngram,NYG,TE,25.0,8.0,6.0,68.0,44.0,0.0,0.0,0.0,7.0,0.0,3.0,467.0,3.0,109.4,0.0,0.0,0.0,78.0,66.99311
180,MohamedSanu,2TM,WR,30.0,15.0,12.0,89.0,59.0,0.0,0.0,0.0,11.0,0.0,3.0,520.0,2.0,124.1,0.0,0.0,0.0,27.0,54.61126
181,TylerEifert,CIN,TE,29.0,16.0,4.0,63.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,3.0,104.6,0.0,0.0,0.0,47.0,55.45328
182,RyanGriffin,NYJ,TE,29.0,13.0,13.0,41.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,5.0,96.0,0.0,0.0,0.0,9.0,61.580784
183,KareemHunt,CLE,RB,24.0,8.0,3.0,44.0,37.0,0.0,0.0,0.0,179.0,2.0,43.0,285.0,1.0,101.4,0.0,1.0,0.0,181.0,55.824368
184,WillieSnead,BAL,WR,27.0,16.0,11.0,46.0,31.0,0.0,0.0,0.0,2.0,0.0,2.0,339.0,5.0,95.1,0.0,0.0,0.0,61.0,61.267227
185,JimmyGraham,GNB,TE,33.0,16.0,10.0,60.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,3.0,100.7,0.0,1.0,0.0,94.0,48.96041
186,AudenTate,CIN,WR,22.0,12.0,10.0,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,1.0,101.5,0.0,1.0,1.0,15.0,77.090324
188,PrestonWilliams,MIA,WR,22.0,8.0,7.0,60.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,3.0,90.8,0.0,2.0,1.0,57.0,74.5943
189,AlexanderMattison,MIN,RB,21.0,13.0,0.0,12.0,10.0,0.0,0.0,0.0,462.0,1.0,100.0,82.0,0.0,68.4,0.0,1.0,1.0,74.0,64.922134
190,MarquezValdesScantling,GNB,WR,25.0,16.0,10.0,56.0,26.0,0.0,0.0,0.0,9.0,0.0,2.0,452.0,2.0,84.10000000000002,0.0,0.0,0.0,104.0,52.99102
191,MalcolmBrown,LAR,RB,26.0,14.0,1.0,6.0,2.0,0.0,0.0,0.0,255.0,5.0,69.0,16.0,0.0,59.1,0.0,0.0,0.0,86.0,46.445
192,JeffDriskel,DET,QB,26.0,3.0,3.0,1.0,1.0,685.0,4.0,105.0,151.0,1.0,22.0,6.0,0.0,58.1,4.0,1.0,0.0,30.0,39.648148
193,BrianHill,ATL,RB,24.0,12.0,2.0,14.0,10.0,0.0,0.0,0.0,323.0,2.0,78.0,69.0,1.0,67.19999999999999,0.0,0.0,0.0,70.0,42.20968
194,JaylenSamuels,PIT,RB,23.0,14.0,4.0,57.0,47.0,35.0,0.0,5.0,175.0,1.0,66.0,305.0,1.0,104.4,1.0,1.0,1.0,7.0,55.739586
196,EricEbron,IND,TE,26.0,11.0,2.0,52.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,3.0,86.5,0.0,0.0,0.0,86.0,55.280823
198,NelsonAgholor,PHI,WR,26.0,11.0,10.0,69.0,39.0,0.0,0.0,0.0,7.0,0.0,2.0,363.0,3.0,92.0,0.0,2.0,1.0,138.0,61.431213
199,CameronBrate,TAM,TE,28.0,16.0,6.0,55.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,4.0,91.1,0.0,0.0,0.0,40.0,53.48572
200,KeelanCole,JAX,WR,26.0,16.0,1.0,35.0,24.0,0.0,0.0,0.0,6.0,0.0,1.0,361.0,3.0,78.69999999999997,0.0,0.0,0.0,100.0,52.408867
201,BlakeJarwin,DAL,TE,25.0,16.0,7.0,41.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,3.0,85.5,0.0,1.0,0.0,1.0,51.250267
203,JordanAkins,HOU,TE,27.0,16.0,9.0,55.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,2.0,89.8,0.0,0.0,0.0,47.0,46.689377
204,DavidBlough,DET,QB,24.0,5.0,5.0,1.0,1.0,984.0,4.0,174.0,31.0,0.0,8.0,19.0,1.0,55.36,6.0,1.0,0.0,2.0,33.180153
206,AlexErickson,CIN,WR,27.0,16.0,6.0,78.0,43.0,26.0,0.0,1.0,33.0,0.0,5.0,529.0,0.0,96.24,0.0,4.0,2.0,11.0,62.888252
207,GeraldEverett,LAR,TE,25.0,13.0,2.0,60.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,408.0,2.0,89.8,0.0,0.0,0.0,52.0,57.239807
208,JacobHollister,SEA,TE,26.0,11.0,3.0,59.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,3.0,93.9,0.0,0.0,0.0,41.0,57.09595
209,TreQuanSmith,NOR,WR,23.0,11.0,6.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,5.0,71.4,0.0,0.0,0.0,69.0,61.009575
210,DarrelWilliams,KAN,RB,24.0,12.0,0.0,19.0,15.0,0.0,0.0,0.0,141.0,3.0,41.0,167.0,1.0,67.80000000000001,0.0,1.0,1.0,37.0,52.377655
212,DawsonKnox,BUF,TE,23.0,15.0,11.0,50.0,28.0,0.0,0.0,0.0,9.0,0.0,1.0,388.0,2.0,79.7,0.0,0.0,0.0,43.0,58.910484
213,ChrisThompson,WAS,RB,29.0,11.0,0.0,58.0,42.0,0.0,0.0,0.0,138.0,0.0,37.0,378.0,0.0,93.6,0.0,1.0,0.0,23.0,50.14711
214,WillDissly,SEA,TE,23.0,6.0,6.0,27.0,23.0,0.0,0.0,0.0,7.0,0.0,1.0,262.0,4.0,73.9,0.0,1.0,0.0,37.0,58.310448
216,RussellGage,ATL,WR,23.0,16.0,4.0,74.0,49.0,0.0,0.0,0.0,12.0,0.0,4.0,446.0,1.0,98.8,0.0,1.0,1.0,109.0,70.85009
218,OJHoward,TAM,TE,25.0,14.0,14.0,53.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,1.0,83.9,0.0,1.0,1.0,27.0,54.738785
